ITEM: TIMESTEP
400
ITEM: NUMBER OF CELLS
59460
ITEM: BOX BOUNDS oo ro pp
-0.002 0.012857
0 0.002
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
0.000637117 3.88889e-05 2.70718e+25 34.8009 -9.6475 253.181 
0.000637117 4.25926e-05 2.73768e+25 32.8364 -6.90025 256.401 
0.000414262 4.62963e-05 2.5634e+25 41.5803 0.241915 265.616 
0.000414262 5e-05 2.50385e+25 75.016 1.49244 265.492 
0.000414262 5.37037e-05 2.43559e+25 80.8669 -6.2374 266.141 
0.000488547 4.62963e-05 2.84806e+25 57.4917 0.627953 272.066 
0.000488547 5e-05 2.77399e+25 86.0229 6.52986 264.032 
0.000488547 5.37037e-05 2.81611e+25 90.5093 2.47529 270.501 
0.000562832 4.62963e-05 2.5968e+25 19.1266 -9.4438 278.66 
0.000562832 5e-05 2.61133e+25 46.2356 -5.65488 266.373 
0.000562832 5.37037e-05 2.65345e+25 71.5197 -4.53758 281.277 
0.000637117 4.62963e-05 2.67087e+25 32.5354 -8.09743 264.535 
0.000637117 5e-05 2.60988e+25 37.1364 -7.0486 270.196 
0.000637117 5.37037e-05 2.57502e+25 55.065 -13.7965 267.302 
0.000414262 6.11111e-05 2.53048e+25 100.678 -11.1681 252.444 
0.000488547 6.11111e-05 2.84322e+25 113.56 6.74474 266.629 
0.000562832 6.11111e-05 2.54016e+25 96.7045 -2.08545 278.11 
0.000637117 6.11111e-05 2.53387e+25 78.7787 -8.78497 275.951 
0.00160282 1.85185e-06 2.80594e+25 -4.27585 -1.17455 265.13 
0.00160282 5.55556e-06 2.98313e+25 19.4502 -1.69154 258.396 
0.00160282 9.25926e-06 2.9323e+25 10.8543 0.357022 250.228 
0.00167711 1.85185e-06 2.97151e+25 10.2078 -4.26019 274.689 
0.00167711 5.55556e-06 2.91342e+25 3.48117 -1.47739 274.447 
0.00167711 9.25926e-06 2.95118e+25 6.29785 3.12897 277.732 
0.00175139 1.85185e-06 2.56631e+25 5.16949 1.88661 279.587 
0.00175139 5.55556e-06 2.53726e+25 -6.74283 4.12384 281.016 
0.00175139 9.25926e-06 2.67814e+25 -8.38726 -2.3869 269.394 
0.00182568 1.85185e-06 2.92504e+25 9.00817 -3.65348 260.725 
0.00182568 5.55556e-06 2.98604e+25 -4.41193 -1.88647 273.594 
0.00182568 9.25926e-06 2.73187e+25 5.14413 1.69433 270.753 
0.00160282 1.2963e-05 3.07463e+25 20.119 -1.81453 241.679 
0.00160282 1.66667e-05 3.17775e+25 27.4254 -2.74452 242.959 
0.00160282 2.03704e-05 2.84225e+25 62.2432 -4.05188 254.868 
0.00167711 1.2963e-05 2.96715e+25 20.3566 -1.57561 278.999 
0.00167711 1.66667e-05 2.82192e+25 28.7112 4.23728 275.642 
0.00167711 2.03704e-05 2.84661e+25 35.8105 1.41144 276.868 
0.00175139 1.2963e-05 2.3775e+25 -4.13194 6.4666 284.598 
0.00175139 1.66667e-05 2.49659e+25 5.30305 2.34348 272.794 
0.00175139 2.03704e-05 2.54016e+25 18.4021 3.89565 266.026 
0.00182568 1.2963e-05 2.99184e+25 -7.16097 -4.55458 275.212 
0.00182568 1.66667e-05 2.81901e+25 13.5366 -2.80494 286.375 
0.00182568 2.03704e-05 2.7188e+25 25.3573 -7.31575 269.737 
0.00160282 2.40741e-05 2.87566e+25 65.5331 -9.41943 255.485 
0.00160282 2.77778e-05 2.61423e+25 76.7472 -12.9147 279.235 
0.00160282 3.14815e-05 2.53145e+25 90.0866 -12.2681 283.587 
0.00167711 2.40741e-05 3.10513e+25 54.5103 4.92367 269.535 
0.00167711 2.77778e-05 3.24746e+25 65.7473 8.61285 258.643 
0.00167711 3.14815e-05 3.21551e+25 75.3893 5.78079 260.032 
0.00175139 2.40741e-05 2.45447e+25 36.1334 3.78904 275.997 
0.00175139 2.77778e-05 2.62149e+25 36.8282 4.86486 271.782 
0.00175139 3.14815e-05 2.58519e+25 82.3825 7.72429 288.086 
0.00182568 2.40741e-05 2.88292e+25 51.0751 -6.08228 271.376 
0.00182568 2.77778e-05 2.89018e+25 43.7294 -6.37219 266.392 
0.00182568 3.14815e-05 2.83935e+25 43.3213 -8.31684 277.365 
0.00160282 3.51852e-05 2.64618e+25 103.831 -13.5726 283.737 
0.00160282 3.88889e-05 2.49224e+25 74.576 -16.0719 294.184 
0.00160282 4.25926e-05 2.48643e+25 57.1962 -19.0201 288.474 
0.00167711 3.51852e-05 3.23294e+25 98.178 10.8242 251.234 
0.00167711 3.88889e-05 3.13708e+25 74.188 3.70823 264.624 
0.00167711 4.25926e-05 3.09206e+25 76.5561 12.319 263.567 
0.00175139 3.51852e-05 2.62149e+25 75.0361 5.55624 285.168 
0.00175139 3.88889e-05 2.60116e+25 119.76 6.93126 272.635 
0.00175139 4.25926e-05 2.65054e+25 108.831 10.9976 267.332 
0.00182568 3.51852e-05 2.8103e+25 48.4408 -11.3378 264.669 
0.00182568 3.88889e-05 2.79142e+25 42.6529 -4.60982 282.438 
0.00182568 4.25926e-05 3.06446e+25 67.0505 -11.1198 263.346 
0.00160282 4.62963e-05 2.61714e+25 61.3265 -20.8252 274.974 
0.00160282 5e-05 2.58083e+25 64.39 -14.4074 274.276 
0.00160282 5.37037e-05 2.5024e+25 57.9409 -19.7553 284.96 
0.00167711 4.62963e-05 2.81756e+25 60.2124 3.19581 280.203 
0.00167711 5e-05 2.81466e+25 48.6726 7.68146 283.578 
0.00167711 5.37037e-05 2.75511e+25 58.7033 7.60534 302.967 
0.00175139 4.62963e-05 2.74204e+25 92.6687 11.6676 261.887 
0.00175139 5e-05 2.85532e+25 81.2364 8.82602 254.014 
0.00175139 5.37037e-05 2.94101e+25 77.3709 7.16558 245.92 
0.00182568 4.62963e-05 3.04994e+25 82.4354 -9.38582 263.869 
0.00182568 5e-05 3.10077e+25 101.985 -8.12675 253.996 
0.00182568 5.37037e-05 3.20534e+25 106.282 -9.84292 248.558 
0.00160282 6.11111e-05 2.60746e+25 64.1924 -17.749 272.69 
0.00167711 6.11111e-05 2.45496e+25 56.6031 7.87368 316.791 
0.00175139 6.11111e-05 2.8316e+25 84.0636 2.13442 255.519 
0.00182568 6.11111e-05 3.15596e+25 100.714 -11.4135 252.781 
-0.00125715 0.0001 1.83474e+25 -16.261 5.38753 221.963 
-0.000180018 6.85185e-05 2.73042e+25 100.098 13.8359 260.111 
-0.000180018 7.22222e-05 2.76092e+25 96.3713 13.8641 270.723 
-0.000180018 7.59259e-05 2.65926e+25 101.457 12.0655 274.373 
-0.000105732 6.85185e-05 2.70864e+25 119.195 3.02258 286.364 
-0.000105732 7.22222e-05 2.40219e+25 141 7.71279 303.553 
-0.000105732 7.59259e-05 2.32957e+25 111.88 10.0033 323.461 
-3.14475e-05 6.85185e-05 3.05139e+25 64.7175 4.97853 260.34 
-3.14475e-05 7.22222e-05 3.10368e+25 67.9463 12.4428 256.463 
-3.14475e-05 7.59259e-05 2.88437e+25 102.07 12.0294 273.57 
4.28375e-05 6.85185e-05 2.90761e+25 65.7869 -8.96908 272.578 
4.28375e-05 7.22222e-05 2.93956e+25 72.3406 -13.153 274.649 
4.28375e-05 7.59259e-05 2.82337e+25 85.8155 -12.5118 277.499 
-0.000180018 7.96296e-05 2.54452e+25 98.6714 16.0256 267.441 
-0.000180018 8.33333e-05 2.71735e+25 98.7456 8.81508 258.598 
-0.000180018 8.7037e-05 2.50531e+25 95.3197 6.89521 281.981 
-0.000105732 7.96296e-05 2.3775e+25 119.103 4.43715 308.831 
-0.000105732 8.33333e-05 2.45302e+25 133.282 11.5698 303.72 
-0.000105732 8.7037e-05 2.55904e+25 127.12 10.9335 299.065 
-3.14475e-05 7.96296e-05 2.63311e+25 95.8378 10.2621 300.566 
-3.14475e-05 8.33333e-05 2.68249e+25 120.486 18.3505 294.374 
-3.14475e-05 8.7037e-05 2.86549e+25 136.438 8.21206 291.86 
4.28375e-05 7.96296e-05 2.81175e+25 97.2008 -9.75508 276.751 
4.28375e-05 8.33333e-05 2.67087e+25 119.424 -15.5309 270.565 
4.28375e-05 8.7037e-05 2.61133e+25 122.164 -9.07247 276.03 
-0.000180018 9.07407e-05 2.57066e+25 109.76 7.84236 276.979 
-0.000180018 9.44444e-05 2.80159e+25 110.529 6.18889 265.808 
-0.000180018 9.81481e-05 2.85678e+25 103.623 8.46059 242.997 
-0.000105732 9.07407e-05 2.72025e+25 126.397 5.45288 276.063 
-0.000105732 9.44444e-05 2.7159e+25 128.751 4.25051 267.259 
-0.000105732 9.81481e-05 2.7493e+25 127.358 5.38138 258.45 
-3.14475e-05 9.07407e-05 2.9018e+25 122.249 15.1176 280.443 
-3.14475e-05 9.44444e-05 2.70137e+25 117.513 9.73198 285.68 
-3.14475e-05 9.81481e-05 2.88582e+25 123.487 12.878 274.603 
4.28375e-05 9.07407e-05 2.56485e+25 107.677 -11.7013 289.644 
4.28375e-05 9.44444e-05 2.57357e+25 86.0491 -8.45437 290.947 
4.28375e-05 9.81481e-05 2.66507e+25 79.5674 -7.67855 280.593 
-0.000180018 0.000101852 2.78852e+25 106.568 7.68448 249.782 
-0.000180018 0.000105556 2.78997e+25 94.3441 10.6001 262.077 
-0.000180018 0.000109259 2.83354e+25 93.6029 5.69148 253.615 
-0.000105732 0.000101852 2.72897e+25 109.182 2.88145 280.495 
-0.000105732 0.000105556 2.66942e+25 89.9631 2.35368 276.356 
-0.000105732 0.000109259 2.80885e+25 80.1819 3.91895 273.446 
-3.14475e-05 0.000101852 2.92213e+25 109.754 14.8683 271.364 
-3.14475e-05 0.000105556 2.90035e+25 100.823 12.891 273.977 
-3.14475e-05 0.000109259 2.78997e+25 92.9534 13.6688 280.818 
4.28375e-05 0.000101852 2.6578e+25 68.2039 -4.0064 285.316 
4.28375e-05 0.000105556 2.60552e+25 82.1536 -0.043881 288.888 
4.28375e-05 0.000109259 2.72606e+25 99.9537 -2.24749 285.076 
-0.000180018 0.000112963 2.76818e+25 78.059 12.7285 264.192 
-0.000180018 0.000116667 2.64183e+25 109.461 6.77039 274.295 
-0.000180018 0.00012037 2.5939e+25 117.881 9.74698 268.205 
-0.000105732 0.000112963 2.60407e+25 112.688 -6.54859 281.151 
-0.000105732 0.000116667 2.54307e+25 111.012 -8.26362 291.433 
-0.000105732 0.00012037 2.53e+25 133.616 -6.90274 290.049 
-3.14475e-05 0.000112963 2.75221e+25 107.231 10.9745 290.245 
-3.14475e-05 0.000116667 2.73333e+25 104.083 15.3774 287.007 
-3.14475e-05 0.00012037 2.83063e+25 95.8298 20.4811 277.639 
4.28375e-05 0.000112963 2.99475e+25 103.971 1.16963 263.525 
4.28375e-05 0.000116667 2.98023e+25 96.9559 -3.2273 260.489 
4.28375e-05 0.00012037 2.70864e+25 83.2676 -3.17484 279.44 
-0.000180018 0.000127778 2.90567e+25 109.316 2.44885 267.25 
-0.000105732 0.000127778 2.77786e+25 118.48 -3.60776 273.926 
-3.14475e-05 0.000127778 2.80159e+25 108.3 19.1738 284.711 
4.28375e-05 0.000127778 2.52516e+25 116.905 -3.23697 284.482 
0.00100854 6.85185e-05 2.78706e+25 80.8466 -17.0971 259.981 
0.00100854 7.22222e-05 2.74204e+25 94.6456 -13.924 263.56 
0.00100854 7.59259e-05 2.89454e+25 100.554 -20.1043 252.762 
0.00108283 6.85185e-05 2.63892e+25 109.903 -5.90218 278.867 
0.00108283 7.22222e-05 2.81466e+25 122.14 -8.94551 261.595 
0.00108283 7.59259e-05 2.73333e+25 118.449 -1.11759 273.584 
0.00115711 6.85185e-05 2.93956e+25 75.6498 -6.12826 267.723 
0.00115711 7.22222e-05 2.89018e+25 66.059 -3.72192 274.002 
0.00115711 7.59259e-05 2.89744e+25 84.8035 1.18711 282.952 
0.0012314 6.85185e-05 2.85823e+25 59.1054 6.66207 260.685 
0.0012314 7.22222e-05 2.9352e+25 56.5322 2.83572 264.054 
0.0012314 7.59259e-05 2.98894e+25 69.0946 4.18932 256.68 
0.00100854 7.96296e-05 2.88873e+25 97.3976 -17.3528 248.707 
0.00100854 8.33333e-05 2.99475e+25 92.7277 -20.7498 234.832 
0.00100854 8.7037e-05 2.73478e+25 93.502 -18.8644 254.052 
0.00108283 7.96296e-05 2.63166e+25 102.118 -0.80945 262.279 
0.00108283 8.33333e-05 2.72171e+25 109.642 -7.92663 261.82 
0.00108283 8.7037e-05 2.46464e+25 98.3813 -5.83657 273.045 
0.00115711 7.96296e-05 2.95263e+25 81.3006 -0.697533 270.519 
0.00115711 8.33333e-05 2.8408e+25 71.0828 3.31711 266.707 
0.00115711 8.7037e-05 2.97732e+25 81.4448 7.59528 269.322 
0.0012314 7.96296e-05 2.91342e+25 82.3156 5.73825 264.297 
0.0012314 8.33333e-05 2.95699e+25 62.1111 5.99235 268.522 
0.0012314 8.7037e-05 2.90325e+25 64.1621 6.22728 287.867 
0.00100854 9.07407e-05 2.70428e+25 87.9461 -28.867 265.983 
0.00100854 9.44444e-05 2.87566e+25 90.9339 -24.106 259.972 
0.00100854 9.81481e-05 2.80885e+25 106.637 -27.4194 258.319 
0.00108283 9.07407e-05 2.52128e+25 111.827 -1.91105 276.006 
0.00108283 9.44444e-05 2.54162e+25 99.587 -8.74939 271.751 
0.00108283 9.81481e-05 2.63166e+25 105.983 -2.41227 267.6 
0.00115711 9.07407e-05 3.10513e+25 86.0367 6.47214 261.43 
0.00115711 9.44444e-05 2.9323e+25 73.7915 7.53824 263.825 
0.00115711 9.81481e-05 2.81321e+25 70.9065 10.1544 266.37 
0.0012314 9.07407e-05 2.96715e+25 56.7797 8.08427 284.474 
0.0012314 9.44444e-05 2.91923e+25 66.347 5.7137 272.977 
0.0012314 9.81481e-05 2.93085e+25 78.3642 3.78339 273.924 
0.00100854 0.000101852 2.89163e+25 99.7034 -23.7193 247.696 
0.00100854 0.000105556 2.87711e+25 89.3624 -26.7532 242.836 
0.00100854 0.000109259 2.89599e+25 114.182 -29.196 231.647 
0.00108283 0.000101852 2.57502e+25 103.845 -2.8539 284.04 
0.00108283 0.000105556 2.70428e+25 110.18 -4.07091 278.969 
0.00108283 0.000109259 2.86549e+25 119.815 -4.30794 259.891 
0.00115711 0.000101852 2.74349e+25 86.0326 12.6197 262.941 
0.00115711 0.000105556 3.13998e+25 74.9328 11.6692 255.289 
0.00115711 0.000109259 3.01363e+25 83.0037 8.89214 247.283 
0.0012314 0.000101852 2.7464e+25 70.691 5.95903 284.443 
0.0012314 0.000105556 2.7464e+25 72.2343 6.84617 290.478 
0.0012314 0.000109259 2.70573e+25 70.288 7.54178 290.509 
0.00100854 0.000112963 2.84225e+25 118.923 -30.7566 244.932 
0.00100854 0.000116667 2.97296e+25 123.605 -26.4634 239.547 
0.00100854 0.00012037 3.01799e+25 116.701 -27.2092 245.282 
0.00108283 0.000112963 2.86839e+25 108.644 -0.84012 250.221 
0.00108283 0.000116667 3.00201e+25 89.5324 -1.88782 254.277 
0.00108283 0.00012037 2.85678e+25 59.591 0.223546 254.912 
0.00115711 0.000112963 3.13418e+25 61.2493 12.3604 254.068 
0.00115711 0.000116667 2.98023e+25 56.6704 11.2413 254.369 
0.00115711 0.00012037 2.88582e+25 60.6206 11.7043 264.723 
0.0012314 0.000112963 2.67233e+25 67.5839 11.3444 272.223 
0.0012314 0.000116667 2.60988e+25 60.1057 7.23638 296.311 
0.0012314 0.00012037 2.55904e+25 72.8452 13.4697 300.757 
0.00100854 0.000127778 2.97151e+25 85.8675 -21.7661 243.228 
0.00108283 0.000127778 2.71154e+25 65.2694 2.08667 269.907 
0.00115711 0.000127778 2.86791e+25 91.2014 11.4328 270.56 
0.0012314 0.000127778 2.65151e+25 85.7308 10.3295 288.584 
0.0021971 6.85185e-05 2.286e+25 88.092 -2.25367 299.311 
0.0021971 7.22222e-05 2.46174e+25 86.3645 -0.099551 281.849 
0.0021971 7.59259e-05 2.54307e+25 98.8875 1.45029 275.891 
0.00227139 6.85185e-05 2.48643e+25 69.621 -6.0614 264.421 
0.00227139 7.22222e-05 2.59826e+25 100.306 -13.0312 282.659 
0.00227139 7.59259e-05 2.67233e+25 127.152 -11.22 273.345 
0.00234567 6.85185e-05 2.72606e+25 84.5759 3.12482 268.093 
0.00234567 7.22222e-05 2.81756e+25 89.294 3.13369 271.812 
0.00234567 7.59259e-05 2.88582e+25 106.126 1.98637 268.13 
0.00241996 6.85185e-05 2.55904e+25 82.712 2.59413 266.449 
0.00241996 7.22222e-05 2.63747e+25 100.219 7.61026 269.517 
0.00241996 7.59259e-05 2.51257e+25 98.949 3.63099 275.922 
0.0021971 7.96296e-05 2.66216e+25 114.412 0.260111 268.897 
0.0021971 8.33333e-05 2.77399e+25 103.599 0.777311 261.469 
0.0021971 8.7037e-05 2.81321e+25 110.699 -3.88177 261.879 
0.00227139 7.96296e-05 2.51838e+25 128.912 -10.3636 286.975 
0.00227139 8.33333e-05 2.40509e+25 118.702 -14.3508 287.082 
0.00227139 8.7037e-05 2.47481e+25 103.924 -13.6389 280.891 
0.00234567 7.96296e-05 2.67668e+25 106.232 1.84035 270.84 
0.00234567 8.33333e-05 2.71735e+25 97.6081 8.10684 270.367 
0.00234567 8.7037e-05 2.67087e+25 83.2473 1.72613 290.934 
0.00241996 7.96296e-05 2.74494e+25 94.5498 1.10601 259.611 
0.00241996 8.33333e-05 2.82482e+25 93.95 4.4649 257.149 
0.00241996 8.7037e-05 2.63892e+25 92.4226 5.64612 269.957 
0.0021971 9.07407e-05 2.6273e+25 114.843 -2.22576 263.803 
0.0021971 9.44444e-05 2.57357e+25 107.729 -0.262977 269.917 
0.0021971 9.81481e-05 2.74494e+25 104.533 -1.41979 270.784 
0.00227139 9.07407e-05 2.58083e+25 79.2341 -15.5552 282.879 
0.00227139 9.44444e-05 2.43559e+25 83.6664 -12.5155 283.129 
0.00227139 9.81481e-05 2.40219e+25 91.2768 -12.8257 295.734 
0.00234567 9.07407e-05 2.60552e+25 80.5484 -1.34716 289.846 
0.00234567 9.44444e-05 2.43995e+25 88.4617 5.34738 312.785 
0.00234567 9.81481e-05 2.55759e+25 73.8252 1.08518 289.066 
0.00241996 9.07407e-05 2.68976e+25 71.1821 3.38977 270.002 
0.00241996 9.44444e-05 2.69847e+25 103.139 4.76294 267.023 
0.00241996 9.81481e-05 2.97151e+25 86.0737 2.38782 245.756 
0.0021971 0.000101852 2.65199e+25 99.0196 -4.75181 261.263 
0.0021971 0.000105556 2.67814e+25 89.0223 -1.53855 257.174 
0.0021971 0.000109259 2.75511e+25 73.6219 -5.08822 269.191 
0.00227139 0.000101852 2.30053e+25 89.7833 -12.1186 296.294 
0.00227139 0.000105556 2.50676e+25 103.621 -11.9924 282.143 
0.00227139 0.000109259 2.54307e+25 97.6477 -11.8496 282.946 
0.00234567 0.000101852 2.66652e+25 75.9892 -1.93538 285.71 
0.00234567 0.000105556 2.70137e+25 90.9095 2.59828 282.691 
