ITEM: TIMESTEP
200
ITEM: NUMBER OF CELLS
39332
ITEM: BOX BOUNDS oo ro pp
-3.788 3.788
0 3.788
-0.5 0.5
ITEM: CELLS xc yc f_1[1] f_1[2] f_1[3] f_1[4] 
-3.77447 0.229986 0 0 0 0 
-3.66624 0.229986 0 0 0 0 
-3.55801 0.229986 0 0 0 0 
-3.44979 0.229986 0 0 0 0 
-3.34156 0.229986 0 0 0 0 
-3.23333 0.229986 0 0 0 0 
-3.1251 0.229986 0 0 0 0 
-3.01687 0.229986 0 0 0 0 
-2.90864 0.229986 0 0 0 0 
-2.80041 0.229986 0 0 0 0 
-2.69219 0.229986 0 0 0 0 
-2.58396 0.229986 0 0 0 0 
-2.47573 0.229986 0 0 0 0 
-2.3675 0.229986 0 0 0 0 
-2.25927 0.229986 0 0 0 0 
-2.15104 0.229986 0 0 0 0 
-2.04281 0.229986 0 0 0 0 
-1.93459 0.229986 0 0 0 0 
-3.77447 0.257043 0 0 0 0 
-3.66624 0.257043 0 0 0 0 
-3.55801 0.257043 0 0 0 0 
-3.44979 0.257043 0 0 0 0 
-3.34156 0.257043 0 0 0 0 
-3.23333 0.257043 0 0 0 0 
-3.1251 0.257043 0 0 0 0 
-3.01687 0.257043 0 0 0 0 
-2.90864 0.257043 0 0 0 0 
-2.80041 0.257043 0 0 0 0 
-2.69219 0.257043 0 0 0 0 
-2.58396 0.257043 0 0 0 0 
-2.47573 0.257043 0 0 0 0 
-2.3675 0.257043 0 0 0 0 
-2.25927 0.257043 0 0 0 0 
-2.15104 0.257043 0 0 0 0 
-2.04281 0.257043 0 0 0 0 
-1.93459 0.257043 0 0 0 0 
-3.77447 0.2841 0 0 0 0 
-3.66624 0.2841 0 0 0 0 
-3.55801 0.2841 0 0 0 0 
-3.44979 0.2841 0 0 0 0 
-3.34156 0.2841 0 0 0 0 
-3.23333 0.2841 0 0 0 0 
-3.1251 0.2841 0 0 0 0 
-3.01687 0.2841 0 0 0 0 
