ITEM: TIMESTEP
0
ITEM: NUMBER OF CELLS
400
ITEM: BOX BOUNDS pp pp pp
0 1
0 1
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.775 0.125 5.18688e+20 -8.45943 -42.8384 277.015 
0.975 0.125 5.18688e+20 -42.6324 -5.87097 265.973 
0.575 0.175 5.18675e+20 48.2817 -11.9653 272.134 
0.775 0.175 5.18675e+20 -7.30816 -27.2834 280.452 
0.975 0.175 5.18675e+20 -53.9464 -4.86733 273.007 
0.575 0.225 5.18688e+20 54.0134 -2.20824 274.928 
0.775 0.225 5.18688e+20 -8.77489 -10.2602 280.732 
0.975 0.225 5.18714e+20 -58.3031 0.281613 272.304 
0.575 0.275 5.18714e+20 53.0629 5.37353 273.859 
0.775 0.275 5.18688e+20 -6.99511 8.7878 283.054 
0.975 0.275 5.18701e+20 -61.786 1.12 271.119 
0.575 0.325 5.18688e+20 48.2471 13.4417 274.529 
0.775 0.325 5.18701e+20 -7.72194 27.9403 278.215 
0.975 0.325 5.18688e+20 -53.1986 1.42545 271.822 
0.575 0.375 5.18675e+20 38.759 19.4952 272.376 
0.775 0.375 5.18688e+20 -7.34112 40.5811 277.816 
0.975 0.375 5.18701e+20 -42.027 8.88333 267.436 
0.575 0.425 5.18662e+20 23.6524 25.9721 268.931 
0.775 0.425 5.18701e+20 -4.64076 56.0247 275.213 
0.975 0.425 5.18675e+20 -28.1061 9.39027 267.083 
0.575 0.475 5.18688e+20 7.67309 27.3006 265.17 
0.775 0.475 5.18675e+20 -1.96949 59.1845 272.314 
0.975 0.475 5.18701e+20 -6.85375 10.8195 262.762 
0.575 0.525 5.18701e+20 -7.91597 26.7908 265.844 
0.775 0.525 5.18701e+20 1.29227 59.278 272.974 
0.975 0.525 5.18688e+20 11.1682 9.08593 263.913 
0.575 0.575 5.18675e+20 -25.4706 28.7103 267.453 
0.775 0.575 5.18688e+20 3.57445 54.8952 276.19 
0.975 0.575 5.18714e+20 25.8997 9.26639 264.717 
0.575 0.625 5.18688e+20 -37.879 19.7327 272.276 
0.775 0.625 5.18701e+20 5.73748 45.0996 277.455 
0.975 0.625 5.18688e+20 44.5274 5.49819 269.116 
0.575 0.675 5.18701e+20 -49.6476 12.8391 272.635 
0.775 0.675 5.18662e+20 9.06328 26.7022 278.905 
0.975 0.675 5.18701e+20 53.9861 5.30943 272.306 
0.575 0.725 5.18688e+20 -53.7725 3.76805 274.193 
0.775 0.725 5.18688e+20 9.74385 8.6109 281.389 
0.975 0.725 5.18688e+20 57.6725 1.11566 271.972 
