TITLE = "cavity_20000"
 VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
 ZONE  F=POINT
0.125 0.675 5.17197e+20 8.80451 -4.83877 274.527 
0.325 0.675 5.19998e+20 -11.8799 -9.39237 275.735 
0.125 0.725 5.21346e+20 9.49009 -2.41566 275.674 
0.325 0.725 5.19492e+20 -10.6989 -2.65966 277.088 
0.125 0.775 5.24186e+20 11.8303 0.92374 273.664 
0.325 0.775 5.18247e+20 -8.79597 2.15451 274.74 
0.125 0.825 5.21204e+20 7.35298 3.88388 277.354 
0.325 0.825 5.18558e+20 -7.01555 7.52271 276.617 
0.125 0.875 5.19712e+20 7.05677 5.91291 274.435 
0.325 0.875 5.25133e+20 -7.03481 8.5503 275.5 
0.125 0.925 5.20581e+20 3.23628 5.32914 276.473 
0.325 0.925 5.22163e+20 -4.91817 10.3486 276.326 
0.125 0.975 5.2394e+20 0.159061 9.96188 274.362 
0.325 0.975 5.14902e+20 -1.66836 11.771 276.776 
0.175 0.525 5.16043e+20 1.482 -13.12 278.143 
0.375 0.525 5.13696e+20 0.633114 -8.74153 274.218 
0.175 0.575 5.16665e+20 4.78674 -11.1264 276.066 
0.375 0.575 5.225e+20 -7.29035 -10.2016 276.429 
0.175 0.625 5.21372e+20 8.13826 -7.72537 275.35 
0.375 0.625 5.12762e+20 -11.9196 -10.7826 276.917 
0.175 0.675 5.23564e+20 5.27827 -4.80008 272.972 
0.375 0.675 5.17249e+20 -12.9157 -5.29357 276.777 
0.175 0.725 5.23758e+20 5.34958 -2.25249 275.091 
0.375 0.725 5.18779e+20 -12.5777 -2.14478 275.379 
0.175 0.775 5.20439e+20 5.29084 2.3735 273.645 
0.375 0.775 5.18701e+20 -11.5531 2.29706 275.592 
0.175 0.825 5.2228e+20 8.45924 8.6201 277.189 
0.375 0.825 5.19323e+20 -7.38908 5.35191 276.223 
0.175 0.875 5.16159e+20 6.57306 11.0715 276.959 
0.375 0.875 5.18506e+20 -8.6612 5.49373 275.806 
0.175 0.925 5.16108e+20 3.77702 10.3743 275.281 
0.375 0.925 5.21502e+20 -3.33494 6.78729 277.649 
0.175 0.975 5.13021e+20 1.5656 11.153 273.711 
0.375 0.975 5.18545e+20 -1.05761 9.19546 276.365 
0.525 0.025 5.14785e+20 0.451879 -3.50644 275.359 
0.725 0.025 5.10117e+20 2.0473 -13.8717 276.909 
0.925 0.025 5.24018e+20 -2.59066 -5.83591 277.756 
0.525 0.075 5.14759e+20 4.215 -4.67012 273.438 
0.725 0.075 5.13838e+20 0.856612 -9.83897 274.826 
0.925 0.075 5.22902e+20 -4.02973 -6.23909 277.298 
0.525 0.125 5.07964e+20 12.6329 -3.60372 274.459 
0.725 0.125 5.2097e+20 1.66761 -6.38099 274.497 
0.925 0.125 5.22669e+20 -9.35381 -2.55142 277.36 
0.525 0.175 5.20101e+20 12.8346 -0.234713 275.254 
0.725 0.175 5.15965e+20 3.10503 -4.03562 276.494 
0.925 0.175 5.15654e+20 -11.016 -0.984546 277.165 
0.525 0.225 5.2276e+20 14.2021 -0.0568752 273.781 
0.725 0.225 5.17015e+20 1.96356 -0.822331 279.422 
0.925 0.225 5.15031e+20 -9.84714 0.110907 277.57 
0.525 0.275 5.16095e+20 16.2862 0.905535 275.97 
0.725 0.275 5.22578e+20 2.32663 1.80123 279.68 
0.925 0.275 5.13514e+20 -12.2533 -0.246188 274.339 
0.525 0.325 5.1437e+20 17.4188 1.31887 275.897 
0.725 0.325 5.23927e+20 3.01407 5.77803 277.069 
0.925 0.325 5.2145e+20 -8.56503 5.3362 275.015 
0.525 0.375 5.1721e+20 14.2162 2.89419 275.282 
0.725 0.375 5.21904e+20 1.86656 11.8044 276.763 
0.925 0.375 5.23214e+20 -12.4519 6.56432 275.859 
0.525 0.425 5.18429e+20 8.29055 3.13923 275.125 
0.725 0.425 5.23227e+20 3.13741 15.3586 278.004 
0.925 0.425 5.16393e+20 -6.79402 4.26447 274.768 
0.525 0.475 5.14707e+20 3.87114 2.00541 278.427 
0.725 0.475 5.2311e+20 2.1454 18.8251 275.877 
0.925 0.475 5.18273e+20 -1.43735 7.96709 276.447 
0.625 0.025 5.12425e+20 1.07031 -13.5961 275.48 
0.825 0.025 5.21022e+20 -3.04778 -12.6905 277.818 
0.625 0.075 5.16211e+20 1.6774 -8.74499 277.531 
0.825 0.075 5.26248e+20 -1.75928 -11.9374 275.31 
0.625 0.125 5.18014e+20 8.35717 -5.47813 275.883 
0.825 0.125 5.19609e+20 -4.83141 -7.9436 275.074 
0.625 0.175 5.19103e+20 11.3681 -4.39175 272.938 
0.825 0.175 5.16354e+20 -5.54895 -3.76404 274.466 
0.625 0.225 5.17664e+20 12.9763 -0.90848 275.718 
0.825 0.225 5.16393e+20 -12.149 -2.85789 274.362 
0.625 0.275 5.22189e+20 13.464 2.4005 278.519 
0.825 0.275 5.14979e+20 -7.94754 2.47932 276.614 
0.625 0.325 5.17275e+20 11.5179 3.93267 276.847 
0.825 0.325 5.18066e+20 -7.71313 3.19813 277.09 
0.625 0.375 5.13294e+20 9.91155 10.1031 275.27 
0.825 0.375 5.19661e+20 -4.55854 10.3011 274.805 
0.625 0.425 5.20127e+20 6.93487 9.97191 277.705 
0.825 0.425 5.2049e+20 -3.4241 13.5501 273.288 
0.625 0.475 5.16432e+20 3.62832 15.0038 276.019 
0.825 0.475 5.18208e+20 0.457968 13.6081 275.072 
0.675 0.025 5.20555e+20 -0.429974 -14.0052 277.804 
0.875 0.025 5.19842e+20 -0.784802 -7.78126 274.97 
0.675 0.075 5.20075e+20 -1.36987 -11.7716 275.102 
0.875 0.075 5.26326e+20 -3.23908 -6.99307 277.56 
0.675 0.125 5.17715e+20 5.63432 -9.45829 275.025 
0.875 0.125 5.19933e+20 -6.46005 -6.79283 277.475 
0.675 0.175 5.20011e+20 7.38433 -4.32312 273.141 
0.875 0.175 5.11802e+20 -4.64514 -2.48697 274.818 
0.675 0.225 5.21709e+20 9.62393 -1.9659 273.277 
0.875 0.225 5.11556e+20 -8.0592 -1.88738 272.79 
0.675 0.275 5.16146e+20 6.02518 1.7325 274.039 
0.875 0.275 5.16432e+20 -9.93063 2.17311 277.195 
0.675 0.325 5.20931e+20 8.73896 6.11142 274.626 
0.875 0.325 5.19894e+20 -9.22614 4.93597 276.025 
0.675 0.375 5.15291e+20 3.28569 9.09116 277.449 
0.875 0.375 5.20335e+20 -7.51015 8.7611 274.957 
0.675 0.425 5.13955e+20 3.39949 15.4588 276.176 
0.875 0.425 5.23473e+20 -5.02872 7.65318 275.547 
0.675 0.475 5.21606e+20 1.43908 16.3126 273.324 
0.875 0.475 5.19518e+20 -1.13257 11.3805 273.94 
0.575 0.025 5.11958e+20 0.182147 -6.11402 275.166 
0.775 0.025 5.18753e+20 1.49985 -12.2208 276.609 
0.975 0.025 5.19388e+20 -1.62477 -0.819519 275.209 
0.575 0.075 5.15667e+20 3.14702 -5.86694 274.873 
0.775 0.075 5.19829e+20 -1.78751 -13.6475 275.094 
0.975 0.075 5.15252e+20 -3.56634 -0.262449 276.556 
0.575 0.125 5.17741e+20 9.14455 -2.00312 272.539 
0.775 0.125 5.22786e+20 -3.89408 -8.84969 275.751 
0.975 0.125 5.24225e+20 -5.16034 -3.01316 273.29 
0.575 0.175 5.12269e+20 15.1748 -2.93483 274.219 
0.775 0.175 5.15381e+20 -4.81308 -3.22672 277.035 
0.975 0.175 5.15304e+20 -9.12652 -2.69274 274.892 
0.575 0.225 5.16082e+20 16.0712 0.248561 276.621 
0.775 0.225 5.17612e+20 -2.06957 -1.70838 278.568 
0.975 0.225 5.14474e+20 -11.5525 -0.552938 275.194 
0.575 0.275 5.17262e+20 17.4069 -0.29167 278.735 
0.775 0.275 5.1673e+20 -1.70689 1.39314 273.069 
0.975 0.275 5.18818e+20 -8.25127 -2.06655 274.046 
0.575 0.325 5.24005e+20 12.5018 3.03748 276.182 
0.775 0.325 5.17443e+20 -0.442337 3.9036 274.37 
0.975 0.325 5.19336e+20 -11.936 -1.71618 273.944 
0.575 0.375 5.22591e+20 12.1043 5.14565 273.813 
0.775 0.375 5.24523e+20 -3.18948 11.9208 275.75 
0.975 0.375 5.17313e+20 -11.1339 1.08362 276.479 
0.575 0.425 5.25496e+20 9.846 6.3602 276.242 
0.775 0.425 5.17936e+20 -1.40526 15.9887 275.407 
0.975 0.425 5.2276e+20 -6.50081 -0.569585 276.757 
0.575 0.475 5.21048e+20 4.00924 8.85285 276.65 
0.775 0.475 5.17741e+20 -2.46072 16.7359 275.403 
0.975 0.475 5.18325e+20 -4.77423 4.25726 276.173 
0.575 0.525 5.17664e+20 -2.66906 6.07189 276.385 
0.775 0.525 5.23421e+20 0.20724 19.9865 275.111 
0.975 0.525 5.21385e+20 6.34713 2.4703 274.787 
0.575 0.575 5.21995e+20 -10.8952 6.52273 275.747 
0.775 0.575 5.20555e+20 1.53946 16.26 273.213 
0.975 0.575 5.20724e+20 4.96976 1.03881 277.387 
0.575 0.625 5.16146e+20 -11.8011 4.78986 275.081 
0.775 0.625 5.18675e+20 0.911715 9.32309 274.008 
0.975 0.625 5.18831e+20 8.25654 -0.693982 277.132 
0.575 0.675 5.25262e+20 -14.0462 6.52401 275.261 
0.775 0.675 5.14098e+20 2.25895 7.33123 275.315 
0.975 0.675 5.19479e+20 12.1887 0.227527 275.463 
0.575 0.725 5.25068e+20 -12.9171 1.39212 277.473 
0.775 0.725 5.18455e+20 4.02407 5.45047 274.782 
0.975 0.725 5.26572e+20 12.9239 1.91369 277.008 
0.575 0.775 5.15822e+20 -13.9847 -3.28113 276.651 
0.775 0.775 5.31759e+20 4.16311 -4.31437 277.368 
0.975 0.775 5.23577e+20 12.5165 1.03472 279.354 
0.575 0.825 5.19025e+20 -12.0779 -3.68921 273.118 
0.775 0.825 5.22721e+20 2.48404 -5.75838 275.58 
0.975 0.825 5.16561e+20 11.2408 -1.16359 276.149 
0.575 0.875 5.20529e+20 -10.5202 -5.0426 274.294 
0.775 0.875 5.23356e+20 3.47002 -8.01777 276.917 
0.975 0.875 5.18831e+20 7.71508 -2.86114 277.474 
0.575 0.925 5.14435e+20 -6.92951 -8.97036 273.42 
0.775 0.925 5.18532e+20 0.795852 -11.4965 275.216 
0.975 0.925 5.23252e+20 3.15972 -0.487459 277.047 
0.575 0.975 5.211e+20 -5.37785 -6.74216 274.448 
0.775 0.975 5.18844e+20 -1.238 -13.0803 275.154 
0.975 0.975 5.19712e+20 0.575096 -1.05252 278.549 
0.625 0.525 5.1638e+20 -1.29926 12.5325 272.71 
0.825 0.525 5.22993e+20 -0.25169 15.7056 273.301 
0.625 0.575 5.16159e+20 -7.36185 9.81525 277.027 
0.825 0.575 5.24212e+20 3.21646 15.7624 276.319 
0.625 0.625 5.18299e+20 -9.57475 10.6889 276.504 
0.825 0.625 5.15978e+20 6.41333 12.2015 273.97 
0.625 0.675 5.18714e+20 -12.1414 5.11301 275.698 
0.825 0.675 5.17495e+20 6.02642 8.06123 276.388 
0.625 0.725 5.2215e+20 -11.5537 1.54356 276.389 
0.825 0.725 5.14059e+20 7.216 4.67529 275.606 
0.625 0.775 5.18312e+20 -11.0236 -0.503718 275.692 
0.825 0.775 5.21632e+20 10.6638 -0.621581 275.94 
0.625 0.825 5.16276e+20 -10.4882 -4.20275 275.204 
0.825 0.825 5.16924e+20 4.71346 -5.87508 275.902 
0.625 0.875 5.12775e+20 -6.61682 -9.85937 275.992 
0.825 0.875 5.25159e+20 6.14854 -10.1535 275.334 
0.625 0.925 5.1743e+20 -4.85017 -11.1954 273.467 
0.825 0.925 5.19972e+20 3.29803 -9.42205 274.059 
0.625 0.975 5.21268e+20 -1.37526 -13.0602 274.955 
0.825 0.975 5.16574e+20 1.68367 -11.0505 276.711 
0.675 0.525 5.14876e+20 -1.57504 14.194 275.69 
0.875 0.525 5.18066e+20 1.44197 10.4135 274.906 
