TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.6485e-05,1.0751e-05,2.6746e+25,-0.784,3.4224,273.39
-1.6485e-05,1.1229e-05,2.6742e+25,-0.41793,3.6131,272.91
-1.6485e-05,1.1707e-05,2.6877e+25,-0.40727,4.4768,272.25
-1.6485e-05,1.2185e-05,2.6711e+25,-0.2638,4.6176,272.68
-1.6485e-05,1.2663e-05,2.674e+25,-0.20524,4.8858,272.47
-1.6485e-05,1.314e-05,2.6756e+25,-0.37522,5.2931,272.77
-1.6485e-05,1.3618e-05,2.6671e+25,-0.86832,6.3763,273.34
-1.6485e-05,1.4096e-05,2.6778e+25,-0.44689,6.801,272.29
-1.6485e-05,1.4574e-05,2.6746e+25,-0.50496,7.2277,272.13
-1.6485e-05,1.5052e-05,2.6621e+25,-1.6624,8.3038,272.02
-1.6485e-05,1.553e-05,2.6658e+25,-2.6795,9.3741,272.1
-1.6485e-05,1.6007e-05,2.6635e+25,-1.7764,10.197,272.13
-1.6485e-05,1.6485e-05,2.6461e+25,0.77463,8.9039,272.56
-1.6485e-05,1.6963e-05,2.613e+25,12.315,3.3015,273.97
-1.6007e-05,-1.6963e-05,2.6814e+25,0.18607,0.050968,272.92
-1.6007e-05,-1.6485e-05,2.6901e+25,-0.40024,-0.19157,271.83
-1.6007e-05,-1.6007e-05,2.7013e+25,-0.14376,-0.022445,271.74
-1.6007e-05,-1.553e-05,2.692e+25,0.57263,-0.40928,272.3
-1.6007e-05,-1.5052e-05,2.6937e+25,0.30389,-0.54811,271.92
-1.6007e-05,-1.4574e-05,2.6905e+25,-0.016345,-0.7692,271.87
-1.6007e-05,-1.4096e-05,2.6851e+25,-0.12704,-0.83466,272.49
-1.6007e-05,-1.3618e-05,2.687e+25,0.93189,-1.002,272.54
-1.6007e-05,-1.314e-05,2.6911e+25,1.3539,-1.432,272.03
-1.6007e-05,-1.2663e-05,2.6934e+25,1.4137,-1.0088,272.02
-1.6007e-05,-1.2185e-05,2.7021e+25,0.066234,-0.45248,271.35
-1.6007e-05,-1.1707e-05,2.7047e+25,-0.31931,-0.36288,270.75
-1.6007e-05,-1.1229e-05,2.6986e+25,-0.75387,-1.0272,270.92
-1.6007e-05,-1.0751e-05,2.7008e+25,-2.0962,-1.233,271.23
-1.6007e-05,-1.0273e-05,2.6895e+25,-1.7846,-0.99864,271.53
-1.6007e-05,-9.7956e-06,2.6876e+25,-0.1575,-0.23363,271.76
-1.6007e-05,-9.3178e-06,2.6899e+25,0.20225,0.75816,272.44
-1.6007e-05,-8.8399e-06,2.6806e+25,-0.17278,0.79384,273.03
-1.6007e-05,-8.3621e-06,2.6869e+25,0.38624,0.47173,272.65
-1.6007e-05,-7.8842e-06,2.6891e+25,0.49411,0.1908,272.38
-1.6007e-05,-7.4064e-06,2.6844e+25,-0.44825,-0.5965,272.24
-1.6007e-05,-6.9286e-06,2.692e+25,-0.15939,-0.24479,272.63
-1.6007e-05,-6.4508e-06,2.6977e+25,-0.39964,0.17108,271.24
-1.6007e-05,-5.9729e-06,2.6825e+25,-0.66307,0.026627,272.27
-1.6007e-05,-5.4951e-06,2.6771e+25,0.057532,0.59428,273.41
-1.6007e-05,-5.0173e-06,2.6762e+25,-0.062878,1.2639,273.25
-1.6007e-05,-4.5394e-06,2.6782e+25,0.15226,1.4742,273.46
-1.6007e-05,-4.0616e-06,2.6861e+25,-0.28147,1.1661,272.35
-1.6007e-05,-3.5838e-06,2.6867e+25,-0.15718,0.96934,272.3
-1.6007e-05,-3.1059e-06,2.69e+25,-0.26362,0.88543,272.65
-1.6007e-05,-2.6281e-06,2.691e+25,-1.2951,1.6352,272.31
-1.6007e-05,-2.1502e-06,2.6924e+25,-0.97589,2.7271,271.76
-1.6007e-05,-1.6724e-06,2.6965e+25,0.48606,2.8127,271.17
-1.6007e-05,-1.1946e-06,2.6784e+25,0.81808,2.7418,272.22
-1.6007e-05,-7.1675e-07,2.6876e+25,-0.59471,2.7374,272.25
-1.6007e-05,-2.3892e-07,2.6848e+25,0.2709,2.4202,272.11
-1.6007e-05,2.3892e-07,2.6789e+25,0.32361,1.9372,272.33
-1.6007e-05,7.1675e-07,2.6868e+25,0.36514,1.6705,271.93
-1.6007e-05,1.1946e-06,2.6941e+25,0.093005,1.4936,271.03
-1.6007e-05,1.6724e-06,2.6735e+25,0.15354,1.2355,272.16
-1.6007e-05,2.1502e-06,2.6879e+25,-0.27189,1.2464,272.09
-1.6007e-05,2.6281e-06,2.6796e+25,-0.26508,1.8526,272.55
-1.6007e-05,3.1059e-06,2.6908e+25,-0.81111,1.7839,271.71
-1.6007e-05,3.5838e-06,2.6857e+25,0.1484,1.4904,271.81
-1.6007e-05,4.0616e-06,2.6936e+25,0.77334,1.3492,271.58
-1.6007e-05,4.5394e-06,2.6869e+25,0.20039,1.1927,271.61
-1.6007e-05,5.0173e-06,2.6929e+25,0.7044,1.2386,271.38
-1.6007e-05,5.4951e-06,2.6864e+25,-0.014224,1.4729,272.2
-1.6007e-05,5.9729e-06,2.6857e+25,0.28999,1.8346,272.25
-1.6007e-05,6.4508e-06,2.6882e+25,0.16309,1.3497,272.14
-1.6007e-05,6.9286e-06,2.6935e+25,0.56173,1.5586,271.51
-1.6007e-05,7.4064e-06,2.6813e+25,0.75193,1.0997,272.31
-1.6007e-05,7.8842e-06,2.6766e+25,0.10567,0.31576,272.58
-1.6007e-05,8.3621e-06,2.6814e+25,-0.59895,0.82976,272.73
-1.6007e-05,8.8399e-06,2.6753e+25,-0.79221,1.8357,272.99
-1.6007e-05,9.3178e-06,2.6843e+25,-2.1516,2.2538,272.6
-1.6007e-05,9.7956e-06,2.6797e+25,-0.98209,2.8803,273.09
-1.6007e-05,1.0273e-05,2.6903e+25,-1.2255,3.5257,272.03
-1.6007e-05,1.0751e-05,2.6844e+25,-1.2518,3.7826,271.96
-1.6007e-05,1.1229e-05,2.6836e+25,-0.87228,4.5335,272.23
-1.6007e-05,1.1707e-05,2.6761e+25,-0.84814,4.7278,272.61
-1.6007e-05,1.2185e-05,2.6823e+25,-0.69183,5.5312,272.15
-1.6007e-05,1.2663e-05,2.6804e+25,-0.51892,5.8006,272.08
-1.6007e-05,1.314e-05,2.6872e+25,-1.2266,6.3663,272.12
-1.6007e-05,1.3618e-05,2.6763e+25,-1.8363,7.0472,272.65
-1.6007e-05,1.4096e-05,2.6901e+25,-0.81624,7.6785,271.47
-1.6007e-05,1.4574e-05,2.6808e+25,-1.2331,8.4908,271.57
-1.6007e-05,1.5052e-05,2.6757e+25,-2.6046,9.1397,271.29
-1.6007e-05,1.553e-05,2.6747e+25,-3.262,9.6612,271.91
-1.6007e-05,1.6007e-05,2.6645e+25,-1.2655,9.4196,272.46
-1.6007e-05,1.6485e-05,2.6633e+25,4.2969,7.1394,272.94
-1.6007e-05,1.6963e-05,2.6422e+25,18.46,2.4163,274
-1.553e-05,-1.6963e-05,2.6765e+25,0.1541,-0.10305,273.12
-1.553e-05,-1.6485e-05,2.6979e+25,-0.096567,-0.080562,271.58
-1.553e-05,-1.6007e-05,2.6857e+25,-0.036873,-0.55738,271.96
-1.553e-05,-1.553e-05,2.6886e+25,0.74528,-0.45482,271.97
-1.553e-05,-1.5052e-05,2.6951e+25,-0.006976,-0.13415,272.18
-1.553e-05,-1.4574e-05,2.696e+25,0.39306,-0.16718,271.59
-1.553e-05,-1.4096e-05,2.6949e+25,0.32507,-0.80466,272
-1.553e-05,-1.3618e-05,2.687e+25,0.42795,-0.60026,272.21
-1.553e-05,-1.314e-05,2.6888e+25,1.368,0.083903,271.98
-1.553e-05,-1.2663e-05,2.6904e+25,0.60076,0.40033,272.22
-1.553e-05,-1.2185e-05,2.707e+25,0.11643,0.47528,270.75
-1.553e-05,-1.1707e-05,2.7036e+25,0.069103,0.065504,270.63
-1.553e-05,-1.1229e-05,2.7017e+25,-0.41485,0.20087,270.2
-1.553e-05,-1.0751e-05,2.7043e+25,-2.0758,-0.18973,270.79
-1.553e-05,-1.0273e-05,2.6977e+25,-1.4769,-0.75241,271.09
-1.553e-05,-9.7956e-06,2.6851e+25,-1.283,-0.60136,271.81
-1.553e-05,-9.3178e-06,2.6803e+25,-0.49449,0.25077,272.95
-1.553e-05,-8.8399e-06,2.6766e+25,0.13912,0.44694,273.9
-1.553e-05,-8.3621e-06,2.6701e+25,0.62381,0.60015,273.31
-1.553e-05,-7.8842e-06,2.6815e+25,0.81434,0.48451,272.94
-1.553e-05,-7.4064e-06,2.6845e+25,0.20296,0.18645,272.69
-1.553e-05,-6.9286e-06,2.6916e+25,-0.92938,0.077419,271.64
-1.553e-05,-6.4508e-06,2.7029e+25,-0.35664,0.43432,270.9
-1.553e-05,-5.9729e-06,2.684e+25,-0.44447,0.37491,271.77
-1.553e-05,-5.4951e-06,2.6833e+25,-0.76585,0.46752,273.02
-1.553e-05,-5.0173e-06,2.6795e+25,-0.17704,0.92724,272.74
-1.553e-05,-4.5394e-06,2.6853e+25,-0.064013,1.1067,272.63
-1.553e-05,-4.0616e-06,2.6865e+25,0.024326,1.1986,272.32
-1.553e-05,-3.5838e-06,2.6858e+25,-0.43205,1.5321,272.16
-1.553e-05,-3.1059e-06,2.6955e+25,-0.60076,1.7077,272.19
-1.553e-05,-2.6281e-06,2.6828e+25,-1.5697,1.8683,272.01
-1.553e-05,-2.1502e-06,2.6972e+25,-1.3545,1.7874,271.62
-1.553e-05,-1.6724e-06,2.7003e+25,0.026877,2.5384,271.3
-1.553e-05,-1.1946e-06,2.683e+25,0.3553,3.0878,271.35
-1.553e-05,-7.1675e-07,2.705e+25,-0.65724,3.2714,270.58
-1.553e-05,-2.3892e-07,2.6973e+25,0.47918,3.5398,271.73
-1.553e-05,2.3892e-07,2.6872e+25,1.2853,2.7097,271.76
-1.553e-05,7.1675e-07,2.6987e+25,0.75001,2.0196,271.59
-1.553e-05,1.1946e-06,2.6976e+25,-0.010298,1.939,271.13
-1.553e-05,1.6724e-06,2.6843e+25,0.44755,1.8695,272.06
-1.553e-05,2.1502e-06,2.6746e+25,-0.53854,1.7242,273.39
-1.553e-05,2.6281e-06,2.6828e+25,-0.82028,2.2567,272.7
-1.553e-05,3.1059e-06,2.6931e+25,-0.6738,2.6734,271.83
-1.553e-05,3.5838e-06,2.6914e+25,0.67984,2.3618,271.56
-1.553e-05,4.0616e-06,2.6889e+25,0.927,1.8482,271.33
-1.553e-05,4.5394e-06,2.694e+25,0.15455,1.9701,271.37
-1.553e-05,5.0173e-06,2.6925e+25,0.31497,2.4444,271.44
-1.553e-05,5.4951e-06,2.6738e+25,-0.48219,2.8723,272.67
-1.553e-05,5.9729e-06,2.6865e+25,-0.0037006,3.2438,272.44
-1.553e-05,6.4508e-06,2.6772e+25,0.15058,3.6229,272.57
-1.553e-05,6.9286e-06,2.6882e+25,1.1806,3.0636,272.26
-1.553e-05,7.4064e-06,2.6902e+25,1.5741,2.3672,272.24
-1.553e-05,7.8842e-06,2.683e+25,0.11628,2.7221,272.43
-1.553e-05,8.3621e-06,2.6848e+25,-1.2889,2.7205,272.7
-1.553e-05,8.8399e-06,2.6728e+25,-1.5729,3.461,272.36
-1.553e-05,9.3178e-06,2.683e+25,-2.3349,3.6645,272.08
-1.553e-05,9.7956e-06,2.6881e+25,-1.6423,3.7802,271.88
-1.553e-05,1.0273e-05,2.6866e+25,-1.1528,4.1231,271.87
-1.553e-05,1.0751e-05,2.6927e+25,-1.8099,3.9952,271.65
-1.553e-05,1.1229e-05,2.6974e+25,-1.6227,4.3893,271.02
-1.553e-05,1.1707e-05,2.6881e+25,-1.3165,5.2097,271.5
-1.553e-05,1.2185e-05,2.6799e+25,-1.5354,5.8833,271.77
-1.553e-05,1.2663e-05,2.6852e+25,-1.1984,6.7395,271.68
-1.553e-05,1.314e-05,2.6857e+25,-1.4191,7.3379,271.93
-1.553e-05,1.3618e-05,2.6911e+25,-2.3448,7.5736,271.31
-1.553e-05,1.4096e-05,2.6861e+25,-2.0355,8.9068,272.3
-1.553e-05,1.4574e-05,2.6822e+25,-1.9486,9.8634,271.84
-1.553e-05,1.5052e-05,2.6747e+25,-2.7461,10.192,272.38
-1.553e-05,1.553e-05,2.66e+25,-2.8411,9.502,273.09
-1.553e-05,1.6007e-05,2.6641e+25,0.50181,7.8009,272.8
-1.553e-05,1.6485e-05,2.6673e+25,7.9458,4.8458,272.63
-1.553e-05,1.6963e-05,2.6688e+25,21.942,1.3487,273.27
-1.5052e-05,-1.6963e-05,2.6853e+25,0.18943,-0.034048,272.87
-1.5052e-05,-1.6485e-05,2.6941e+25,0.13843,-0.12426,271.75
-1.5052e-05,-1.6007e-05,2.6934e+25,-0.0548,0.096554,272.31
-1.5052e-05,-1.553e-05,2.6851e+25,0.47043,0.013449,272.73
-1.5052e-05,-1.5052e-05,2.6881e+25,-0.042519,0.21465,272.5
-1.5052e-05,-1.4574e-05,2.6958e+25,0.8755,-0.024543,271.97
-1.5052e-05,-1.4096e-05,2.6789e+25,0.39608,-0.37337,272.6
-1.5052e-05,-1.3618e-05,2.6962e+25,-0.19745,0.20375,271.55
-1.5052e-05,-1.314e-05,2.6997e+25,1.0981,0.50969,271.52
-1.5052e-05,-1.2663e-05,2.698e+25,0.20784,0.68068,271.49
-1.5052e-05,-1.2185e-05,2.7041e+25,0.29734,0.7229,270.5
-1.5052e-05,-1.1707e-05,2.7154e+25,0.24993,0.63826,269.87
-1.5052e-05,-1.1229e-05,2.7095e+25,-0.23824,0.21361,270.29
-1.5052e-05,-1.0751e-05,2.6976e+25,-1.4469,0.052772,271.02
