TITLE = "cavity_20000"
 VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
 ZONE T="cavity", I=100, J=100, K=1, F=POINT
-2.6677e-08 8.5138e-09 2.5781e+25 -1.1004 8.2352 271.43
-2.6677e-08 9.649e-09 2.5711e+25 -0.83409 8.7523 271.44
-2.6677e-08 1.0784e-08 2.5631e+25 -0.7517 8.9317 271.57
-2.6677e-08 1.1919e-08 2.5587e+25 -0.64797 8.9142 271.52
-2.6677e-08 1.3055e-08 2.5552e+25 -0.83695 9.1577 271.5
-2.6677e-08 1.419e-08 2.552e+25 -1.0621 9.4304 271.11
-2.6677e-08 1.5325e-08 2.5474e+25 -0.98233 9.7249 271.16
-2.6677e-08 1.646e-08 2.541e+25 -0.9055 9.6951 271.3
-2.6677e-08 1.7595e-08 2.5364e+25 -0.63665 9.7209 271.2
-2.6677e-08 1.873e-08 2.5314e+25 -0.57818 9.7615 271.27
-2.6677e-08 1.9866e-08 2.5231e+25 -0.54914 9.94 271.53
-2.6677e-08 2.1001e-08 2.5183e+25 -0.04981 9.6826 271.41
-2.6677e-08 2.2136e-08 2.5122e+25 0.14684 9.3774 271.22
-2.6677e-08 2.3271e-08 2.5024e+25 0.44096 9.1322 271.61
-2.6677e-08 2.4406e-08 2.5015e+25 0.87394 8.5065 271.5
-2.6677e-08 2.5542e-08 2.4994e+25 1.4133 7.7335 271.97
-2.6677e-08 2.6677e-08 2.5024e+25 2.7078 6.6784 271.9
-2.6677e-08 2.7812e-08 2.5069e+25 4.4509 5.2765 272.2
-2.6677e-08 2.8947e-08 2.5192e+25 7.0552 3.6366 273.02
-2.6677e-08 3.0082e-08 2.5321e+25 11.104 1.7874 273.75
-2.6677e-08 3.1217e-08 2.5531e+25 16.99 0.30096 274.44
-2.5542e-08 -3.1217e-08 2.6225e+25 -1.1698 -0.004996 272.5
-2.5542e-08 -3.0082e-08 2.6243e+25 -0.96999 0.28374 272.63
-2.5542e-08 -2.8947e-08 2.6279e+25 -1.0728 0.63768 272.49
-2.5542e-08 -2.7812e-08 2.6264e+25 -1.2419 0.52527 272.75
-2.5542e-08 -2.6677e-08 2.6301e+25 -1.2358 0.58026 272.57
-2.5542e-08 -2.5542e-08 2.6321e+25 -1.1233 0.72395 272.5
-2.5542e-08 -2.4406e-08 2.6328e+25 -1.0017 0.92852 272.36
-2.5542e-08 -2.3271e-08 2.6363e+25 -1.0058 1.2179 272.35
-2.5542e-08 -2.2136e-08 2.6328e+25 -1.0787 1.5218 272.62
-2.5542e-08 -2.1001e-08 2.6374e+25 -1.0425 1.9686 272.64
-2.5542e-08 -1.9866e-08 2.6351e+25 -1.4304 2.1826 272.31
-2.5542e-08 -1.873e-08 2.6319e+25 -1.2402 2.3249 272.35
-2.5542e-08 -1.7595e-08 2.6339e+25 -1.1647 2.4341 272.39
-2.5542e-08 -1.646e-08 2.6339e+25 -1.4141 2.6479 272.13
-2.5542e-08 -1.5325e-08 2.6317e+25 -1.0941 3.117 272.43
-2.5542e-08 -1.419e-08 2.6329e+25 -1.1426 3.4311 272.09
-2.5542e-08 -1.3055e-08 2.6321e+25 -1.2911 3.6688 272.12
-2.5542e-08 -1.1919e-08 2.6289e+25 -1.2495 3.9299 272.16
-2.5542e-08 -1.0784e-08 2.6277e+25 -1.2515 4.0574 272.35
-2.5542e-08 -9.649e-09 2.6293e+25 -1.3431 4.2464 272.02
-2.5542e-08 -8.5138e-09 2.6255e+25 -1.0717 4.7029 271.98
-2.5542e-08 -7.3787e-09 2.6256e+25 -1.356 4.7546 272.09
-2.5542e-08 -6.2435e-09 2.6235e+25 -1.3913 5.028 271.98
-2.5542e-08 -5.1083e-09 2.6181e+25 -1.4706 5.2808 272.07
-2.5542e-08 -3.9731e-09 2.6153e+25 -1.4566 5.5136 271.95
-2.5542e-08 -2.838e-09 2.6158e+25 -1.2329 5.6454 271.99
-2.5542e-08 -1.7028e-09 2.6137e+25 -1.187 6.1075 271.69
-2.5542e-08 -5.6759e-10 2.6083e+25 -1.15 6.3813 271.79
-2.5542e-08 5.6759e-10 2.6045e+25 -1.0578 6.5609 271.8
-2.5542e-08 1.7028e-09 2.6032e+25 -1.4423 6.9661 271.47
-2.5542e-08 2.838e-09 2.5993e+25 -1.4048 7.0101 271.49
-2.5542e-08 3.9731e-09 2.5946e+25 -1.4685 7.2562 271.48
