TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=BLOCK
-9.31775e-06 -9.31775e-06 2.68219e+25 -1.63722 0.993879 273.061 
-7.40642e-06 -9.31775e-06 2.67158e+25 -0.404768 0.777715 273.193 
-5.49508e-06 -9.31775e-06 2.68643e+25 0.123415 1.40606 272.564 
-3.58375e-06 -9.31775e-06 2.68352e+25 -3.03443 1.54139 272.368 
-1.67242e-06 -9.31775e-06 2.70162e+25 -3.8035 0.879503 271.622 
-1.69631e-05 -8.83992e-06 2.6858e+25 -0.00266771 0.292171 272.849 
-1.50517e-05 -8.83992e-06 2.68379e+25 -0.265755 1.01748 273.609 
-1.31404e-05 -8.83992e-06 2.67659e+25 -1.0462 1.31816 273.036 
-1.12291e-05 -8.83992e-06 2.69696e+25 -0.202336 0.739242 271.999 
-9.31775e-06 -8.83992e-06 2.6777e+25 -0.25444 1.01295 272.979 
-7.40642e-06 -8.83992e-06 2.68899e+25 -0.65852 0.454608 272.689 
-5.49508e-06 -8.83992e-06 2.69838e+25 -1.48367 1.4851 271.581 
-3.58375e-06 -8.83992e-06 2.6961e+25 -2.6354 1.72757 271.741 
-1.67242e-06 -8.83992e-06 2.69128e+25 -3.49418 1.54132 271.616 
-1.69631e-05 -8.36208e-06 2.68864e+25 0.181749 0.0708504 272.592 
-1.50517e-05 -8.36208e-06 2.68539e+25 0.515271 0.988235 272.99 
-1.31404e-05 -8.36208e-06 2.67868e+25 0.20368 1.95058 273.159 
-1.12291e-05 -8.36208e-06 2.68619e+25 -0.282146 0.285961 272.368 
-9.31775e-06 -8.36208e-06 2.6896e+25 -0.361941 0.911114 272.022 
-7.40642e-06 -8.36208e-06 2.70199e+25 -1.52655 0.607305 271.304 
-5.49508e-06 -8.36208e-06 2.69535e+25 -3.04571 1.24931 271.812 
-3.58375e-06 -8.36208e-06 2.68647e+25 -2.3267 1.51567 271.827 
-1.67242e-06 -8.36208e-06 2.68676e+25 -3.78892 2.13862 272.185 
-1.69631e-05 -7.88425e-06 2.6833e+25 0.214474 0.000160915 272.342 
-1.50517e-05 -7.88425e-06 2.68635e+25 0.797372 1.17621 272.942 
-1.31404e-05 -7.88425e-06 2.69415e+25 1.44416 2.32944 272.125 
-1.12291e-05 -7.88425e-06 2.67606e+25 0.225573 0.394235 273.473 
-9.31775e-06 -7.88425e-06 2.69052e+25 -1.06628 1.66366 272.04 
-7.40642e-06 -7.88425e-06 2.7152e+25 -2.45964 0.759194 269.756 
-5.49508e-06 -7.88425e-06 2.6947e+25 -3.94795 0.855467 272.082 
-3.58375e-06 -7.88425e-06 2.68659e+25 -2.46131 0.909504 272.4 
-1.67242e-06 -7.88425e-06 2.69332e+25 -2.58 2.34007 271.471 
-1.69631e-05 -7.40642e-06 2.68207e+25 -0.399523 0.0884222 272.187 
-1.50517e-05 -7.40642e-06 2.68354e+25 0.519629 1.11924 272.36 
-1.31404e-05 -7.40642e-06 2.6926e+25 1.48505 2.15873 272.326 
-1.12291e-05 -7.40642e-06 2.66999e+25 0.0499824 1.17676 273.26 
-9.31775e-06 -7.40642e-06 2.69091e+25 -1.82053 1.7739 271.336 
-7.40642e-06 -7.40642e-06 2.7023e+25 -3.61783 1.3808 270.719 
-5.49508e-06 -7.40642e-06 2.69302e+25 -4.48344 0.401031 272.095 
-3.58375e-06 -7.40642e-06 2.69634e+25 -2.79806 0.435513 271.951 
-1.67242e-06 -7.40642e-06 2.68978e+25 -2.68003 2.78696 272.407 
-1.69631e-05 -6.92858e-06 2.68033e+25 -0.0274538 0.428836 272.968 
-1.50517e-05 -6.92858e-06 2.69338e+25 -0.692426 0.821891 271.023 
-1.31404e-05 -6.92858e-06 2.69058e+25 -0.446698 1.98477 271.922 
-1.12291e-05 -6.92858e-06 2.6869e+25 -0.855413 1.87652 272.356 
-9.31775e-06 -6.92858e-06 2.69746e+25 -0.784087 2.37289 270.976 
-7.40642e-06 -6.92858e-06 2.68884e+25 -4.39806 2.08891 272.058 
-5.49508e-06 -6.92858e-06 2.68872e+25 -4.53577 0.420791 272.676 
-3.58375e-06 -6.92858e-06 2.68757e+25 -3.42994 0.291997 272.646 
-1.67242e-06 -6.92858e-06 2.68513e+25 -3.30412 2.21653 272.318 
-1.69631e-05 -6.45075e-06 2.67957e+25 -0.0503204 0.737111 273.35 
-1.50517e-05 -6.45075e-06 2.70047e+25 -0.697018 0.684589 271.213 
-1.31404e-05 -6.45075e-06 2.69154e+25 -1.10384 1.78059 271.569 
-1.12291e-05 -6.45075e-06 2.68472e+25 -0.499211 1.63197 272.596 
-9.31775e-06 -6.45075e-06 2.69333e+25 -1.53158 2.61737 271.489 
-7.40642e-06 -6.45075e-06 2.68982e+25 -3.22834 2.58217 272.183 
-5.49508e-06 -6.45075e-06 2.68235e+25 -2.96399 0.533393 272.843 
-3.58375e-06 -6.45075e-06 2.68841e+25 -3.80196 0.624532 272.183 
-1.67242e-06 -6.45075e-06 2.6882e+25 -3.82571 1.8634 271.954 
-1.69631e-05 -5.97292e-06 2.67647e+25 0.036407 0.899283 273.54 
-1.50517e-05 -5.97292e-06 2.68926e+25 -0.932866 1.22549 271.539 
-1.31404e-05 -5.97292e-06 2.68323e+25 -1.82757 2.04219 272.199 
-1.12291e-05 -5.97292e-06 2.6849e+25 -2.5967 2.26243 272.583 
-9.31775e-06 -5.97292e-06 2.69488e+25 -2.89878 2.76638 271.443 
-7.40642e-06 -5.97292e-06 2.6852e+25 -2.76343 2.93453 272.276 
-5.49508e-06 -5.97292e-06 2.67702e+25 -3.44445 0.951056 273.007 
-3.58375e-06 -5.97292e-06 2.69444e+25 -4.40122 1.08851 271.98 
-1.67242e-06 -5.97292e-06 2.69461e+25 -3.56993 1.85408 271.474 
-1.69631e-05 -5.49508e-06 2.67223e+25 0.196119 0.585351 273.057 
-1.50517e-05 -5.49508e-06 2.68126e+25 -0.995334 1.58435 273.06 
-1.31404e-05 -5.49508e-06 2.6844e+25 -1.60453 2.30183 272.214 
-1.12291e-05 -5.49508e-06 2.68676e+25 -3.42536 2.79748 272.53 
-9.31775e-06 -5.49508e-06 2.69804e+25 -2.80925 2.79389 271.226 
-7.40642e-06 -5.49508e-06 2.68454e+25 -3.43294 2.98259 272.824 
-5.49508e-06 -5.49508e-06 2.67457e+25 -3.8244 1.38465 273.259 
-3.58375e-06 -5.49508e-06 2.6894e+25 -5.2594 0.916995 271.91 
-1.67242e-06 -5.49508e-06 2.69358e+25 -3.04126 1.72246 272.015 
-1.69631e-05 -5.01725e-06 2.6656e+25 0.0405756 0.253627 273.442 
-1.50517e-05 -5.01725e-06 2.68398e+25 -0.658618 1.89636 272.706 
-1.31404e-05 -5.01725e-06 2.69392e+25 -1.63543 2.79853 271.873 
-1.12291e-05 -5.01725e-06 2.68632e+25 -3.45995 2.93002 272.716 
-9.31775e-06 -5.01725e-06 2.70121e+25 -2.50925 2.8758 271.467 
-7.40642e-06 -5.01725e-06 2.68503e+25 -2.50654 3.1311 272.887 
-5.49508e-06 -5.01725e-06 2.67349e+25 -3.85396 1.15388 274.063 
-3.58375e-06 -5.01725e-06 2.70696e+25 -4.60587 0.582742 270.982 
-1.67242e-06 -5.01725e-06 2.69002e+25 -5.02578 1.59647 271.707 
-1.69631e-05 -4.53942e-06 2.68443e+25 -0.0730559 0.203396 272.667 
-1.50517e-05 -4.53942e-06 2.68592e+25 -0.435913 2.52688 272.996 
-1.31404e-05 -4.53942e-06 2.68477e+25 -1.64002 3.16021 272.406 
-1.12291e-05 -4.53942e-06 2.68962e+25 -1.84412 3.12237 272.14 
-9.31775e-06 -4.53942e-06 2.69201e+25 -2.22178 2.70336 271.662 
-7.40642e-06 -4.53942e-06 2.68867e+25 -2.98273 3.30835 272.759 
-5.49508e-06 -4.53942e-06 2.67279e+25 -4.02899 1.49803 274.07 
-3.58375e-06 -4.53942e-06 2.70665e+25 -4.94111 0.96449 269.764 
-1.67242e-06 -4.53942e-06 2.69885e+25 -5.57482 1.31612 270.524 
-1.69631e-05 -4.06158e-06 2.69421e+25 -0.210083 0.392073 271.923 
-1.50517e-05 -4.06158e-06 2.68704e+25 -0.253198 2.62211 272.54 
-1.31404e-05 -4.06158e-06 2.68785e+25 -0.613198 3.10802 272.284 
-1.12291e-05 -4.06158e-06 2.69277e+25 -1.14871 3.12436 272.012 
-9.31775e-06 -4.06158e-06 2.7053e+25 -3.02754 2.59312 270.46 
-7.40642e-06 -4.06158e-06 2.68354e+25 -2.98238 3.21663 272.138 
-5.49508e-06 -4.06158e-06 2.68712e+25 -4.07137 2.68058 272.933 
-3.58375e-06 -4.06158e-06 2.71979e+25 -5.23144 1.63829 269.729 
