TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.6007e-05,-8.3621e-06,2.6892e+25,-0.16859,0.40265,272.35
-1.6007e-05,-7.8842e-06,2.6885e+25,-0.081241,0.45091,272.31
-1.6007e-05,-7.4064e-06,2.6883e+25,0.024582,0.55652,272.28
-1.6007e-05,-6.9286e-06,2.6904e+25,-0.039405,0.61126,272.19
-1.6007e-05,-6.4508e-06,2.6904e+25,-0.063613,0.66797,272.18
-1.6007e-05,-5.9729e-06,2.6897e+25,-0.14163,0.70487,272.24
-1.6007e-05,-5.4951e-06,2.6891e+25,-0.15896,0.79233,272.28
-1.6007e-05,-5.0173e-06,2.6905e+25,-0.091218,0.91806,272.19
-1.6007e-05,-4.5394e-06,2.6905e+25,-0.074042,1.0316,272.13
-1.6007e-05,-4.0616e-06,2.6898e+25,-0.13661,1.1923,272.2
-1.6007e-05,-3.5838e-06,2.6886e+25,-0.18605,1.3147,272.28
-1.6007e-05,-3.1059e-06,2.6891e+25,-0.22509,1.4048,272.21
-1.6007e-05,-2.6281e-06,2.6898e+25,-0.11035,1.4681,272.21
-1.6007e-05,-2.1502e-06,2.6881e+25,-0.16512,1.5801,272.34
-1.6007e-05,-1.6724e-06,2.688e+25,-0.035205,1.6782,272.29
-1.6007e-05,-1.1946e-06,2.6879e+25,0.017879,1.6661,272.32
-1.6007e-05,-7.1675e-07,2.6889e+25,-0.062933,1.6792,272.23
-1.6007e-05,-2.3892e-07,2.6857e+25,-0.12371,1.754,272.28
-1.6007e-05,2.3892e-07,2.6867e+25,-0.21079,1.83,272.23
-1.6007e-05,7.1675e-07,2.6893e+25,-0.10611,1.9995,272.21
-1.6007e-05,1.1946e-06,2.6896e+25,-0.17253,2.1527,272.14
-1.6007e-05,1.6724e-06,2.6895e+25,-0.040158,2.1919,272.14
-1.6007e-05,2.1502e-06,2.6885e+25,0.0066338,2.1952,272.2
-1.6007e-05,2.6281e-06,2.6882e+25,-0.061823,2.22,272.25
-1.6007e-05,3.1059e-06,2.6874e+25,-0.038872,2.2348,272.27
-1.6007e-05,3.5838e-06,2.6883e+25,-0.047285,2.3075,272.24
-1.6007e-05,4.0616e-06,2.687e+25,-0.073334,2.3911,272.31
-1.6007e-05,4.5394e-06,2.6863e+25,-0.042833,2.438,272.37
-1.6007e-05,5.0173e-06,2.6877e+25,-0.14629,2.5167,272.27
-1.6007e-05,5.4951e-06,2.6871e+25,-0.22264,2.6221,272.23
-1.6007e-05,5.9729e-06,2.687e+25,-0.24919,2.7438,272.25
-1.6007e-05,6.4508e-06,2.6861e+25,-0.084001,2.8405,272.3
-1.6007e-05,6.9286e-06,2.6857e+25,-0.079193,2.9787,272.31
-1.6007e-05,7.4064e-06,2.6868e+25,-0.12109,3.0831,272.28
-1.6007e-05,7.8842e-06,2.6857e+25,-0.16468,3.1859,272.28
-1.6007e-05,8.3621e-06,2.6858e+25,-0.24543,3.3295,272.23
-1.6007e-05,8.8399e-06,2.6853e+25,-0.27681,3.4824,272.29
-1.6007e-05,9.3178e-06,2.6858e+25,-0.29148,3.6572,272.24
-1.6007e-05,9.7956e-06,2.6848e+25,-0.27867,3.8708,272.29
-1.6007e-05,1.0273e-05,2.685e+25,-0.41998,4.0487,272.35
-1.6007e-05,1.0751e-05,2.6838e+25,-0.48024,4.2366,272.36
-1.6007e-05,1.1229e-05,2.6846e+25,-0.52126,4.6078,272.25
-1.6007e-05,1.1707e-05,2.6838e+25,-0.59538,5.0249,272.28
-1.6007e-05,1.2185e-05,2.6835e+25,-0.75061,5.4922,272.31
-1.6007e-05,1.2663e-05,2.682e+25,-0.93817,6.0154,272.3
-1.6007e-05,1.314e-05,2.6835e+25,-1.2212,6.6943,272.14
-1.6007e-05,1.3618e-05,2.681e+25,-1.5514,7.4353,272.25
-1.6007e-05,1.4096e-05,2.6797e+25,-1.9574,8.3368,272.25
-1.6007e-05,1.4574e-05,2.6792e+25,-2.3796,9.3037,272.06
-1.6007e-05,1.5052e-05,2.674e+25,-2.8387,10.167,272.27
-1.6007e-05,1.553e-05,2.6706e+25,-2.6728,10.583,272.38
-1.6007e-05,1.6007e-05,2.6646e+25,-1.036,9.83,272.65
-1.6007e-05,1.6485e-05,2.6577e+25,4.6717,6.9439,272.95
-1.6007e-05,1.6963e-05,2.6514e+25,18.235,2.1663,273.32
-1.553e-05,-1.6963e-05,2.6849e+25,0.025863,-0.010035,272.76
-1.553e-05,-1.6485e-05,2.6871e+25,0.098993,-0.013589,272.53
-1.553e-05,-1.6007e-05,2.6884e+25,0.035802,-0.020243,272.4
-1.553e-05,-1.553e-05,2.6883e+25,0.012544,0.01477,272.34
-1.553e-05,-1.5052e-05,2.6898e+25,0.069312,0.013577,272.27
-1.553e-05,-1.4574e-05,2.6892e+25,0.052268,0.018462,272.31
-1.553e-05,-1.4096e-05,2.6892e+25,-0.08781,0.0048618,272.29
-1.553e-05,-1.3618e-05,2.69e+25,-0.11213,0.03766,272.23
-1.553e-05,-1.314e-05,2.6893e+25,-0.097449,0.083551,272.29
-1.553e-05,-1.2663e-05,2.6896e+25,-0.18056,0.14449,272.23
-1.553e-05,-1.2185e-05,2.6901e+25,-0.035955,0.18295,272.15
-1.553e-05,-1.1707e-05,2.691e+25,0.0082636,0.24385,272.1
-1.553e-05,-1.1229e-05,2.6911e+25,-0.15958,0.28348,272.04
-1.553e-05,-1.0751e-05,2.691e+25,-0.15686,0.42205,272.07
